,src_id,dest_id,month,time_taken
1469,856,167,3,8.80538816022687
1470,856,167,4,189.98552821997106
1471,856,167,5,187.38752959747436
1472,856,167,6,189.76006506710044
1473,856,167,7,187.38752959747436
1474,856,167,8,188.54922279792746
1475,856,167,9,189.5536791314837
1476,856,167,10,189.98552821997106
1477,856,167,11,188.54922279792746
1478,856,167,12,62.23152709359606
1481,856,878,3,14.493152904950977
1482,856,878,4,124.92993297937157
1483,856,878,5,116.12310263194541
1484,856,878,6,123.12905903608575
1485,856,878,7,115.85570469798658
1486,856,878,8,113.56548536209553
1487,856,878,9,127.46353439560968
1488,856,878,10,124.9295039164491
1489,856,878,11,113.56548536209553
1490,856,878,12,61.18597022457734
1497,856,1193,3,32.0139755428001
1498,856,1193,4,181.69587337478802
1499,856,1193,5,181.8850987432675
1500,856,1193,6,181.71129773411505
1501,856,1193,7,181.8850987432675
1502,856,1193,8,181.79282868525897
1503,856,1193,9,181.73383317713214
1504,856,1193,10,181.69587337478802
1505,856,1193,11,181.79282868525897
1506,856,1193,12,68.68689510855349
1513,863,493,1,71.76470588235294
1514,863,493,2,71.93004569087758
1530,863,865,2,180.0
1531,863,865,3,180.0
1532,863,865,4,240.0
1536,863,1211,1,60.0
1537,863,1211,2,60.0
1538,863,1211,3,77.00499573534788
1539,863,1211,4,119.93694167104572
1540,863,1211,5,119.85123966942149
1541,863,1211,6,119.92932862190813
1542,863,1211,7,119.84937238493724
1543,863,1211,8,119.88919667590028
1544,863,1211,9,119.9218523878437
1545,863,1211,10,119.93694167104572
1546,863,1211,11,119.88919667590028
1547,863,1211,12,36.028457314028955
1548,863,1241,1,120.0
1550,863,1241,3,120.0
1551,863,1241,4,120.0
1552,863,1241,5,120.0
1553,863,1241,6,120.0
1554,863,1241,7,120.0
1555,863,1241,8,120.0
1556,863,1241,9,120.0
1557,863,1241,10,120.0
1558,863,1241,11,120.0
1559,863,1241,12,120.0
1562,865,290,3,627.6923076923077
1566,865,493,1,52.99465240641711
1567,865,493,2,49.36672967863894
1578,865,494,1,77.78552746294682
1579,865,494,2,79.10604192355117
1580,865,494,3,80.74047447879224
1581,865,494,4,83.96846254927726
1582,865,494,5,80.71103761885077
1583,865,494,6,84.97717567368576
1584,865,494,7,84.9539748953975
1585,865,494,8,85.26315789473684
1586,865,494,9,86.62228654124458
1587,865,494,10,86.67367314766159
1588,865,494,11,85.26315789473684
1589,865,494,12,81.77514792899409
1619,875,892,1,60.0
1620,875,892,2,60.0
1621,875,892,3,60.0
1622,875,892,4,60.0
1623,875,892,5,60.0
1624,875,892,6,60.0
1625,875,892,7,60.0
1626,875,892,8,60.0
1627,875,892,9,60.0
1628,875,892,10,60.0
1629,875,892,11,60.0
1630,875,892,12,75.54221797844768
1631,878,333,1,182.0311563810665
1632,878,333,2,193.59493670886076
1633,878,333,3,157.0393777345649
1634,878,333,4,26.30809399477807
1635,878,333,5,15.93984962406015
1636,878,333,6,26.6337890625
1638,878,333,8,28.363636363636363
1639,878,333,9,19.646656717854906
1640,878,333,10,26.30809399477807
1641,878,333,11,28.363636363636363
1642,878,333,12,84.99369164774161
1645,878,856,1,120.95266626722588
1646,878,856,2,132.65256606361095
1647,878,856,3,103.21759915731475
1649,878,856,5,10.208855472013367
1656,878,856,12,79.5407519555892
1658,880,290,1,92.97486033519553
1659,880,290,2,123.30963471439078
1660,880,290,3,115.19038076152304
1661,880,290,4,123.53222909598882
1662,880,290,5,39.342359767891686
1663,880,290,6,118.69156788190561
1664,880,290,7,96.12584824182603
1665,880,290,8,92.70803949224259
1666,880,290,9,128.21330401319406
1667,880,290,10,123.57426528991263
1668,880,290,11,123.37711069418387
1669,880,290,12,61.81509754028838
1670,880,757,1,120.0
1671,880,757,2,120.0
1672,880,757,3,120.0
1673,880,757,4,120.0
1674,880,757,5,120.0
1675,880,757,6,119.85238201744576
1676,880,757,7,73.39913633559532
1677,880,757,8,119.0691114245416
1678,880,757,9,151.50082462891697
1679,880,757,10,145.68705321683876
1680,880,757,11,147.5797373358349
1681,880,757,12,124.61407972858355
1682,880,885,2,240.0
1683,880,885,3,240.0
1684,880,885,4,300.0
1690,884,885,1,141.15921787709496
1691,884,885,2,142.27122381477398
1692,884,885,3,143.12094620373904
1693,884,885,4,144.16267942583733
1694,884,885,5,139.5357833655706
1695,884,885,6,138.5797360769403
1696,884,885,7,63.84947563232573
1697,884,885,8,108.95627644569817
1698,884,885,9,140.5563496426608
1699,884,885,10,134.63065925337568
1700,884,885,11,136.81801125703564
1701,884,885,12,131.16765620582416
1702,884,1164,1,119.97905027932961
1703,884,1164,2,119.9779492833517
1704,884,1164,3,119.98283098054178
1705,884,1164,4,120.0
1706,884,1164,5,120.0
1707,884,1164,6,128.7228807872959
1708,884,1164,7,122.33189389265885
1709,884,1164,8,175.0070521861777
1710,884,1164,9,177.6646509070918
1711,884,1164,10,177.18824463860207
1712,884,1164,11,177.343339587242
1713,884,1164,12,147.0285552728301
1714,885,154,1,64.59677419354838
1715,885,154,2,64.83563096500531
1716,885,154,3,63.1374707582221
1717,885,154,4,62.61318051575931
1718,885,154,5,64.23005565862708
1719,885,154,6,62.934835076427994
1720,885,154,7,64.05693950177935
1721,885,154,8,64.65306122448979
1722,885,154,9,62.16318785578748
1723,885,154,10,62.58356940509915
1724,885,154,11,62.447665056360705
1725,885,154,12,64.94339107897967
1726,885,290,1,65.48882681564245
1727,885,290,2,65.77728776185226
1728,885,290,3,88.26592903471958
