,src_id,dest_id,hour,time_taken
734,277,251,15,408.46371347785106
735,277,251,16,236.520412056467
739,277,251,20,904.047256097561
744,277,290,8,1020.0
747,277,290,14,840.0
748,277,290,23,540.0
757,277,498,0,64.9256625727214
758,277,498,1,127.82608695652173
759,277,498,2,127.82608695652173
760,277,498,5,124.30270984798413
761,277,498,6,126.6219512195122
762,277,498,7,120.54954204829309
763,277,498,8,121.58838599487618
764,277,498,9,117.13572023313905
765,277,498,10,915.0398406374502
766,277,498,11,121.66082690960056
767,277,498,12,120.88379705400982
768,277,498,13,120.94327990135635
769,277,498,14,332.0
770,277,498,15,120.81917475728156
771,277,498,16,121.27938764352105
772,277,498,17,120.73932092004381
773,277,498,18,120.58283864004318
774,277,498,19,120.54483541430193
775,277,498,20,126.59901800327333
776,277,498,21,125.12118018967334
777,277,498,22,125.54161915621437
778,277,498,23,120.93240093240094
787,277,1116,20,420.0
814,290,496,1,60.0
815,290,496,2,60.0
816,290,496,5,111.48994767281741
817,290,496,6,122.06642066420665
818,290,496,7,116.57916889875258
819,290,496,8,117.07626252300143
820,290,496,9,116.77514983566411
821,290,496,10,115.39023865835304
822,290,496,11,114.58717884759291
823,290,496,12,114.69713517600604
824,290,496,13,114.49790616186651
825,290,496,14,114.61965989216093
826,290,496,15,114.83294117647058
827,290,496,16,123.20772683988572
828,290,496,17,123.9341713100946
829,290,496,18,123.93191489361702
830,290,496,19,115.77298643423553
831,290,496,20,115.86059066370277
832,290,496,21,100.60486404020462
833,290,496,22,119.18978102189782
834,290,496,23,101.56111373289288
863,290,880,1,120.0
864,290,880,2,120.0
865,290,880,5,120.0
866,290,880,6,120.0
867,290,880,7,145.14101531023368
868,290,880,8,147.20030349013658
869,290,880,9,135.1270435296435
870,290,880,10,120.0
871,290,880,11,120.0
872,290,880,12,120.0
873,290,880,13,120.0
874,290,880,14,120.0
875,290,880,15,120.0
876,290,880,16,164.13012729844414
877,290,880,17,170.7246376811594
878,290,880,18,120.0
879,290,880,19,120.0
880,290,880,20,120.0
881,290,880,21,120.0
882,290,880,22,120.0
883,290,880,23,120.0
885,290,885,1,120.0
886,290,885,2,120.0
887,290,885,5,116.82352941176471
888,290,885,6,114.32300163132138
889,290,885,7,115.17647058823529
890,290,885,8,115.19906323185012
891,290,885,9,115.46041705111644
892,290,885,10,117.27215587680703
893,290,885,11,115.26868044515103
894,290,885,12,115.72904707233066
895,290,885,13,115.73516766981943
896,290,885,14,115.26868044515103
897,290,885,15,116.01797990481226
898,290,885,16,142.17391304347825
899,290,885,17,145.47128129602356
900,290,885,18,116.90721649484536
901,290,885,19,116.96293343961737
902,290,885,20,116.2919708029197
903,290,885,21,115.96291390728477
904,290,885,22,115.97145122918319
905,290,885,23,115.98207223833377
923,290,1013,19,660.0
930,290,1116,1,163.59516616314198
931,290,1116,2,220.54054054054055
932,290,1116,3,240.0
933,290,1116,5,143.8874296435272
934,290,1116,6,145.36130536130537
935,290,1116,7,184.95741056218057
936,290,1116,8,183.55644929617927
937,290,1116,9,184.15906009941256
938,290,1116,10,155.2093215095896
939,290,1116,11,160.61811157822976
940,290,1116,12,186.65246716364928
941,290,1116,13,175.70892552586696
942,290,1116,14,183.7781954887218
943,290,1116,15,184.0115120655302
944,290,1116,16,185.57262974775298
945,290,1116,17,185.75746127691727
946,290,1116,18,180.38181315134187
947,290,1116,19,183.47655153046898
948,290,1116,20,159.8551724137931
949,290,1116,21,156.61595547309832
950,290,1116,22,156.62218833396875
951,290,1116,23,144.66120625465376
969,302,333,1,64.83870967741936
970,302,333,2,66.83544303797468
971,302,333,5,87.6510067114094
972,302,333,6,78.93010542756736
973,302,333,7,79.62264150943396
974,302,333,8,77.54506892895016
975,302,333,9,79.50323974082073
976,302,333,10,78.52701479022035
977,302,333,11,79.98571938593359
978,302,333,12,79.88728425501937
979,302,333,13,77.3997979117548
980,302,333,14,77.45721271393643
981,302,333,15,77.37905695039804
982,302,333,16,77.37905695039804
983,302,333,17,79.54096455549099
984,302,333,18,76.67105609691862
985,302,333,19,75.12411347517731
986,302,333,20,62.88921071687183
987,302,333,21,63.02731411229135
988,302,333,22,62.98972993533663
989,302,333,23,62.80295047418335
993,302,888,1,73.475935828877
994,302,888,2,72.17391304347827
995,302,888,5,68.89867841409692
996,302,888,6,82.22387504648569
997,302,888,7,65.99118942731278
998,302,888,8,65.99144079885878
999,302,888,9,65.84144645340751
1000,302,888,10,66.83148991541965
1001,302,888,11,67.2686230248307
1002,302,888,12,67.38775510204081
1003,302,888,13,67.48314606741573
1004,302,888,14,71.33640552995392
1005,302,888,15,70.89430894308943
1006,302,888,16,66.79572377925454
1007,302,888,17,66.62162162162163
1008,302,888,18,65.92925322852331
1009,302,888,19,114.63364293085655
1010,302,888,20,112.02743249035576
1011,302,888,21,68.06201550387597
1012,302,888,22,67.02100300042864
1013,302,888,23,67.1590909090909
1014,302,1116,7,1140.0
1017,302,1118,1,120.0
1018,302,1118,2,120.0
1019,302,1118,5,115.36082474226804
1020,302,1118,6,132.4336973478939
1021,302,1118,7,150.41426927502877
1022,302,1118,8,145.96611964002116
1023,302,1118,9,112.93478260869566
1024,302,1118,10,112.23949718822362
1025,302,1118,11,111.66311300639659
1026,302,1118,12,111.10250088059176
1027,302,1118,13,112.26576852418862
1028,302,1118,14,97.56889161053276
1029,302,1118,15,97.70171149144254
1030,302,1118,16,98.5848787446505
1031,302,1118,17,95.4160125588697
1032,302,1118,18,100.261748958953
1033,302,1118,19,98.06094182825485
1034,302,1118,20,77.48103186646433
1035,302,1118,21,77.48103186646433
1036,302,1118,22,77.40022805017104
1037,302,1118,23,86.38088012139606
1039,302,1179,1,120.0
1040,302,1179,2,120.0
1041,302,1179,5,120.0
1042,302,1179,6,120.0
1043,302,1179,7,121.71184022824536
1044,302,1179,8,121.73711638679792
1045,302,1179,9,120.0
1046,302,1179,10,120.0
1047,302,1179,11,120.0
1048,302,1179,12,120.0
1049,302,1179,13,120.0
1050,302,1179,14,120.0
1051,302,1179,15,120.0
