Incident Number,Day,Month,Hour,Lat,Long
16-0028893,11,Monday,May,53.9070237,-1.3541998
16-0028895,12,Monday,May,42.319004,-71.079687
16-0028896,12,Monday,May,,
16-0028898,12,Monday,May,,
16-0028900,12,Monday,May,42.2853759,-71.1567196
16-0028902,12,Monday,May,42.3357813,-71.0999755
16-0028903,12,Monday,May,42.3003827,-71.0624746
16-0028906,12,Monday,May,42.3210351,-71.1167961
16-0028907,13,Monday,May,42.3016751,-71.1086524
16-0028909,13,Monday,May,42.3604823,-71.0595678
16-0028910,13,Monday,May,42.3582926,-71.0602525
16-0028914,13,Monday,May,,
16-0028917,13,Monday,May,42.2873572,-71.1314964
16-0028920,14,Monday,May,42.2873572,-71.1314964
16-0028921,14,Monday,May,42.347664,-71.0730394
16-0028922,14,Monday,May,,
16-0028924,14,Monday,May,42.2951131,-71.0804986
16-0028925,14,Monday,May,42.3371008,-71.1018795639118
16-0028926,14,Monday,May,42.35316,-71.060721
16-0028927,14,Monday,May,39.5545426,-77.7036034
16-0028928,14,Monday,May,42.2951131,-71.0804986
16-0028930,14,Monday,May,42.317588,-71.109815
16-0028931,14,Monday,May,42.36595515,-71.032447539268
16-0028934,14,Monday,May,,
16-0028935,15,Monday,May,42.34864325,-71.1012568994117
16-0028937,15,Monday,May,42.317275,-71.097733
16-0028938,15,Monday,May,42.3604823,-71.0595678
16-0028942,15,Monday,May,42.3287665,-71.084102
16-0028943,15,Monday,May,42.2834319,-71.0689393
16-0028944,15,Monday,May,42.3464814,-71.0814679462404
16-0028946,15,Monday,May,42.3287665,-71.084102
16-0028947,15,Monday,May,42.3475844,-71.065728
16-0028948,15,Monday,May,42.388055,-71.005614
16-0028955,16,Monday,May,,
16-0028956,16,Monday,May,,
16-0028957,16,Monday,May,14.5868586,120.9689531
16-0028959,16,Monday,May,42.307884,-71.112742
16-0028960,16,Monday,May,42.317768,-71.097403
16-0028961,16,Monday,May,42.318014,-71.1089769119413
16-0028962,16,Monday,May,42.3012981,-71.1125139
16-0028965,16,Monday,May,42.303562,-71.10696
16-0028967,16,Monday,May,42.28572265,-71.1527798360951
16-0028975,16,Monday,May,,
16-0028976,17,Monday,May,42.3314096,-71.0943757
16-0028977,17,Monday,May,,
16-0028982,17,Monday,May,14.6658782,121.0455673
16-0028983,17,Monday,May,42.3523066,-71.0807705
16-0028984,17,Monday,May,,
16-0028988,17,Monday,May,41.397606,-96.209458
16-0028989,17,Monday,May,26.57458,-80.087998
16-0028990,17,Monday,May,,
16-0028993,18,Monday,May,42.304959,-71.067161
16-0028995,18,Monday,May,42.336038,-71.0707256
16-0028998,18,Monday,May,42.304724,-71.069699
16-0029000,18,Monday,May,,
16-0029001,18,Monday,May,42.3593398,-71.0535429
16-0029002,18,Monday,May,42.3366072,-71.0893384
16-0029004,19,Monday,May,,
16-0029006,19,Monday,May,42.3795071,-71.067782
16-0029007,19,Monday,May,42.3125982,-71.0578282
16-0029008,19,Monday,May,42.2723208,-71.0869953
16-0029013,19,Monday,May,34.273712,-81.94667
16-0029015,20,Monday,May,42.2665675,-71.1026326
16-0029016,20,Monday,May,,
16-0029017,20,Monday,May,42.3480222,-71.0784264
16-0029018,20,Monday,May,42.28735805,-71.1307580719811
16-0029019,20,Monday,May,42.34436,-71.0828973
16-0029020,20,Monday,May,,
16-0029023,20,Monday,May,42.315513,-71.098269
16-0029025,20,Monday,May,42.3593398,-71.0535429
16-0029026,20,Monday,May,,
16-0029027,20,Monday,May,42.3593059,-71.0668304
16-0029028,20,Monday,May,42.3600431,-71.054636718502
16-0029029,20,Monday,May,42.3436979,-71.0973964
16-0029036,21,Monday,May,42.3587085,-71.067829
16-0029037,21,Monday,May,42.376652,-71.036256
16-0029038,21,Monday,May,42.3475181,-71.0917267
16-0029039,21,Monday,May,,
16-0029045,22,Monday,May,42.3504489,-71.0769524
16-0029046,22,Monday,May,42.3397131,-71.0558619
16-0029049,22,Monday,May,42.325743,-71.09461
16-0029053,22,Monday,May,42.310303,-71.067843
16-0029057,23,Monday,May,42.3475333,-71.1055434
16-0029061,23,Monday,May,42.283222,-71.111499
16-0029062,23,Monday,May,42.332001,-71.1120662
16-0029064,23,Monday,May,42.36784,-71.057327
16-0029068,0,Tuesday,May,42.28564215,-71.1532315272231
16-0029072,0,Tuesday,May,39.5545426,-77.7036034
16-0029073,0,Tuesday,May,42.3264963,-71.0665839
16-0029074,1,Tuesday,May,42.555271,-82.913437
16-0029077,1,Tuesday,May,42.3346495,-71.0732123032609
16-0029078,2,Tuesday,May,42.348849,-71.0971315
16-0029082,3,Tuesday,May,42.3501019,-71.0596026
16-0029083,4,Tuesday,May,42.3125982,-71.0578282
16-0029085,4,Tuesday,May,42.3604823,-71.0595678
16-0029088,5,Tuesday,May,,
16-0029089,5,Tuesday,May,42.3475333,-71.1055434
16-0029094,6,Tuesday,May,42.3016751,-71.1086524
16-0029098,6,Tuesday,May,,
16-0029099,6,Tuesday,May,42.364779,-71.053461
16-0029100,7,Tuesday,May,42.3016751,-71.1086524
16-0029104,7,Tuesday,May,,
16-0029106,7,Tuesday,May,42.351694,-71.0781296
16-0029107,7,Tuesday,May,42.3016751,-71.1086524
16-0029110,8,Tuesday,May,42.2723208,-71.0869953
16-0029113,9,Tuesday,May,42.317238,-71.080184
16-0029114,9,Tuesday,May,42.3475333,-71.1055434
16-0029116,9,Tuesday,May,42.3468062,-71.0392626
16-0029117,9,Tuesday,May,42.3575336,-71.1537146
16-0029118,9,Tuesday,May,42.36291795,-71.0687374226199
16-0029120,10,Tuesday,May,,
16-0029121,10,Tuesday,May,,
16-0029122,10,Tuesday,May,42.3586119,-71.1580255
16-0029127,10,Tuesday,May,42.3604823,-71.0595678
16-0029128,10,Tuesday,May,42.270045,-71.099826
16-0029130,10,Tuesday,May,,
16-0029133,11,Tuesday,May,38.5828366,-85.9791405
16-0029134,11,Tuesday,May,42.3248426,-71.0950158
16-0029136,11,Tuesday,May,,
16-0029137,11,Tuesday,May,44.827352,-84.726145
16-0029139,11,Tuesday,May,14.2797483,120.9732905
16-0029140,11,Tuesday,May,44.104196,-72.801255
16-0029142,11,Tuesday,May,14.2797483,120.9732905
16-0029143,11,Tuesday,May,42.3552668,-71.0628569603572
16-0029144,11,Tuesday,May,,
16-0029146,11,Tuesday,May,42.3001734,-71.1057066
16-0029147,11,Tuesday,May,42.3319603,-71.1120478
16-0029148,11,Tuesday,May,42.3001734,-71.1057066
16-0029149,11,Tuesday,May,42.2862098,-71.0453276
16-0029151,11,Tuesday,May,42.3482674,-71.0974195
16-0029152,11,Tuesday,May,,
16-0029153,12,Tuesday,May,42.2514877,-71.1147738
16-0029155,12,Tuesday,May,,
16-0029156,12,Tuesday,May,42.2973205,-71.0744952
16-0029158,12,Tuesday,May,,
16-0029159,12,Tuesday,May,,
16-0029160,12,Tuesday,May,32.9438017,-80.1062692
16-0029162,12,Tuesday,May,,
16-0029163,12,Tuesday,May,42.3469394,-71.0761022
16-0029164,12,Tuesday,May,42.3866011,-71.0066038
16-0029165,12,Tuesday,May,42.327541,-71.089916
16-0029166,12,Tuesday,May,,
16-0029167,12,Tuesday,May,42.3587085,-71.067829
16-0029168,12,Tuesday,May,42.3575336,-71.1537146
16-0029173,13,Tuesday,May,42.287975,-71.116528
16-0029175,13,Tuesday,May,,
16-0029176,13,Tuesday,May,42.3593398,-71.0535429
16-0029181,13,Tuesday,May,42.3315765,-71.0751915
16-0029184,13,Tuesday,May,42.31133955,-71.1118760502985
16-0029187,13,Tuesday,May,42.316734,-71.100737
16-0029188,13,Tuesday,May,42.2514877,-71.1147738
16-0029189,14,Tuesday,May,,
16-0029191,14,Tuesday,May,37.9997955,-86.0107981
16-0029192,14,Tuesday,May,42.283302,-71.074332
16-0029193,14,Tuesday,May,42.332001,-71.1120662
16-0029194,14,Tuesday,May,42.39002,-71.008871
16-0029196,14,Tuesday,May,,
16-0029197,14,Tuesday,May,,
16-0029198,14,Tuesday,May,,
16-0029200,14,Tuesday,May,42.3170628,-71.06521
16-0029201,14,Tuesday,May,42.3642107,-71.058326
16-0029202,14,Tuesday,May,42.3672928,-71.0692326
16-0029203,14,Tuesday,May,42.3346495,-71.0732123032609
16-0029208,15,Tuesday,May,42.292773,-71.121393
16-0029212,15,Tuesday,May,42.3345126,-71.1054205
16-0029217,15,Tuesday,May,42.329685,-71.086128
16-0029221,15,Tuesday,May,,
16-0029222,16,Tuesday,May,,
16-0029223,16,Tuesday,May,42.3500548,-71.0774775
16-0029224,16,Tuesday,May,42.292773,-71.121393
16-0029225,16,Tuesday,May,42.3494692,-71.0690577
16-0029226,16,Tuesday,May,,
16-0029229,16,Tuesday,May,42.31438495,-71.1160156357028
16-0029232,16,Tuesday,May,,
16-0029235,17,Tuesday,May,42.3593059,-71.0668304
16-0029238,17,Tuesday,May,,
16-0029239,17,Tuesday,May,42.3461583,-71.0433047
16-0029240,17,Tuesday,May,49.2499778,-122.947166
16-0029241,17,Tuesday,May,42.6856155,-78.7766971
16-0029243,17,Tuesday,May,42.302441,-71.069792
16-0029244,17,Tuesday,May,42.306269,-71.078567
16-0029245,17,Tuesday,May,42.367226,-71.054685
16-0029247,18,Tuesday,May,,
16-0029252,18,Tuesday,May,42.3593059,-71.0668304
16-0029253,18,Tuesday,May,42.288044,-71.07122
16-0029254,18,Tuesday,May,42.3387909,-71.0185276
16-0029255,18,Tuesday,May,42.299908,-71.116572
16-0029258,19,Tuesday,May,42.3397131,-71.0558619
16-0029260,19,Tuesday,May,42.3467181,-71.0609504
16-0029261,19,Tuesday,May,42.3582926,-71.0602525
16-0029262,19,Tuesday,May,42.292773,-71.121393
16-0029263,19,Tuesday,May,37.9997955,-86.0107981
16-0029268,20,Tuesday,May,42.3612244,-71.0516173394871
16-0029269,20,Tuesday,May,,
16-0029270,20,Tuesday,May,42.266006,-71.116316
16-0029272,20,Tuesday,May,42.3248426,-71.0950158
16-0029273,20,Tuesday,May,,
16-0029275,21,Tuesday,May,,
16-0029276,21,Tuesday,May,,
16-0029277,21,Tuesday,May,,
16-0029278,21,Tuesday,May,,
16-0029279,21,Tuesday,May,42.2878545,-71.0946356
16-0029280,22,Tuesday,May,42.28551715,-71.1530919623199
16-0029281,22,Tuesday,May,42.321695,-71.078666
16-0029282,22,Tuesday,May,42.315513,-71.098269
16-0029285,23,Tuesday,May,,
16-0029288,23,Tuesday,May,42.3604823,-71.0595678
16-0029290,23,Tuesday,May,,
16-0029291,23,Tuesday,May,,
