Incident Number,Day,Month,Hour,Lat,Long
16-0000985,19,Tuesday,January,42.315865,-71.070174
16-0000988,19,Tuesday,January,,
16-0000991,19,Tuesday,January,42.349307,-71.043261
16-0000992,19,Tuesday,January,,
16-0000993,19,Tuesday,January,42.2713409,-71.1046549
16-0000994,19,Tuesday,January,52.9500834,-0.0310881
16-0000995,19,Tuesday,January,42.3480331,-71.0369182
16-0000996,19,Tuesday,January,42.285564,-71.091106
16-0000997,20,Tuesday,January,42.3604823,-71.0595678
16-0000998,20,Tuesday,January,42.287105,-71.084269
16-0000999,20,Tuesday,January,42.3287665,-71.084102
16-0001004,20,Tuesday,January,42.3182467,-71.0426228
16-0001005,20,Tuesday,January,,
16-0001006,20,Tuesday,January,,
16-0001007,20,Tuesday,January,42.333125,-71.034338
16-0001008,21,Tuesday,January,,
16-0001009,21,Tuesday,January,42.7222306,-87.902519
16-0001010,21,Tuesday,January,42.3577383,-71.0512701
16-0001017,22,Tuesday,January,42.3397131,-71.0558619
16-0001018,22,Tuesday,January,,
16-0001020,22,Tuesday,January,42.3408979,-71.085662
