Incident Number,Day,Month,Hour,Lat,Long
16-0000717,18,Monday,0,42.321479,-71.079573
16-0000720,18,Monday,0,42.3553922,-71.06273557
16-0000721,18,Monday,0,42.250593,-71.140899
16-0000724,19,Monday,0,42.3304274,-71.0502231
16-0000726,19,Monday,0,42.3429019,-71.0574784
16-0000729,20,Monday,0,42.28725795,-71.13036273
16-0000731,20,Monday,0,42.277696,-71.099308
16-0000739,20,Monday,0,42.3604823,-71.0595678
16-0000741,20,Monday,0,42.3786275,-71.0254438
16-0000742,20,Monday,0,42.3426385,-71.0364948
16-0000743,20,Monday,0,42.288097,-71.077468
16-0000746,21,Monday,0,42.3482674,-71.0974195
16-0000749,21,Monday,0,42.36031,-71.0678007
16-0000752,22,Monday,0,42.3397131,-71.0558619
16-0000756,23,Monday,0,42.307081,-71.110411
16-0000761,23,Monday,0,42.334251,-71.050896
16-0000763,23,Monday,0,42.353327,-71.0529532
16-0000767,0,Tuesday,0,42.3456863,-71.0809227
16-0000770,0,Tuesday,0,42.3498382,-71.1050242
16-0000772,0,Tuesday,0,42.3832783,-71.0232279
16-0000774,0,Tuesday,0,42.3582926,-71.0602525
16-0000775,0,Tuesday,0,42.3593398,-71.0535429
16-0000776,0,Tuesday,0,42.3621811,-71.0678245
16-0000777,1,Tuesday,0,42.329009,-71.086067
16-0000778,1,Tuesday,0,42.2978534,-71.0760356
16-0000784,1,Tuesday,0,42.34855,-71.0755607
16-0000786,2,Tuesday,0,42.3604823,-71.0595678
16-0000788,3,Tuesday,0,42.378856,-71.032359
16-0000796,3,Tuesday,0,42.345772,-71.08839
16-0000798,4,Tuesday,0,42.33703905,-71.07106376
16-0000799,4,Tuesday,0,42.332001,-71.1120662
16-0000800,4,Tuesday,0,42.34855,-71.0755607
16-0000802,4,Tuesday,0,42.3500897,-71.06066336
16-0000811,5,Tuesday,0,42.3589395,-71.0627908
16-0000812,5,Tuesday,0,42.289754,-71.084039
16-0000821,6,Tuesday,0,42.2723208,-71.0869953
16-0000822,6,Tuesday,0,42.3484477,-71.0604701
16-0000825,7,Tuesday,0,42.5112941,-83.6235399
16-0000828,7,Tuesday,0,42.27874,-71.079765
16-0000829,7,Tuesday,0,42.3012981,-71.1125139
16-0000830,7,Tuesday,0,42.342278,-71.105358
16-0000834,7,Tuesday,0,42.3604823,-71.0595678
16-0000837,8,Tuesday,0,42.337783,-71.1051413
16-0000838,8,Tuesday,0,42.3754626,-71.053528
16-0000844,8,Tuesday,0,42.3552362,-71.0540266
16-0000845,8,Tuesday,0,42.3280082,-71.0829258
16-0000849,9,Tuesday,0,42.329009,-71.086067
16-0000853,9,Tuesday,0,42.3473135,-71.0759078
16-0000856,9,Tuesday,0,42.374057,-71.0373709
16-0000858,9,Tuesday,0,42.2723208,-71.0869953
16-0000860,9,Tuesday,0,42.3434798,-71.0655655
16-0000870,10,Tuesday,0,42.293708,-71.049362
16-0000871,10,Tuesday,0,42.339841,-71.065753
16-0000872,10,Tuesday,0,42.3475844,-71.065728
16-0000873,10,Tuesday,0,42.3016751,-71.1086524
16-0000875,11,Tuesday,0,42.9908333,-80.2705126
16-0000879,11,Tuesday,0,42.317882,-71.081988
16-0000881,11,Tuesday,0,42.292773,-71.121393
16-0000886,11,Tuesday,0,42.294817,-71.05132
16-0000887,11,Tuesday,0,42.288855,-71.13176
16-0000889,11,Tuesday,0,40.8902279,-77.7803016
16-0000890,11,Tuesday,0,42.30296,-71.15095
16-0000894,12,Tuesday,0,42.308878,-71.10245
16-0000898,12,Tuesday,0,42.3541956,-71.0539964
16-0000902,12,Tuesday,0,42.9908333,-80.2705126
16-0000903,12,Tuesday,0,42.2853759,-71.1567196
16-0000905,12,Tuesday,0,42.3480222,-71.0784264
16-0000910,13,Tuesday,0,42.27874,-71.079765
16-0000911,13,Tuesday,0,42.310631,-71.067723
16-0000917,13,Tuesday,0,42.349934,-71.074646
16-0000918,13,Tuesday,0,42.3604823,-71.0595678
16-0000920,13,Tuesday,0,42.3553648,-71.0581312
16-0000921,14,Tuesday,0,42.3503105,-71.0798846
16-0000922,14,Tuesday,0,42.310631,-71.067723
16-0000923,14,Tuesday,0,42.3694004,-71.0392245
16-0000925,14,Tuesday,0,42.3664741,-71.0546855
16-0000929,14,Tuesday,0,42.3663498,-71.0621144
16-0000930,14,Tuesday,0,42.295983,-71.1177004
16-0000947,16,Tuesday,0,42.292773,-71.121393
16-0000948,16,Tuesday,0,42.3480222,-71.0784264
16-0000949,16,Tuesday,0,40.651687,-73.645176
16-0000950,16,Tuesday,0,42.312606,-71.066994
16-0000952,16,Tuesday,0,42.347664,-71.0730394
16-0000954,16,Tuesday,0,42.3460929,-71.0749637
16-0000955,16,Tuesday,0,41.135926,-75.046018
16-0000957,17,Tuesday,0,42.3604823,-71.0595678
16-0000960,17,Tuesday,0,42.295634,-71.059082
16-0000962,17,Tuesday,0,42.319958,-71.081383
16-0000963,17,Tuesday,0,42.3182467,-71.0426228
16-0000964,17,Tuesday,0,42.3560992,-71.05391861
16-0000965,17,Tuesday,0,42.3500548,-71.0774775
16-0000966,17,Tuesday,0,42.3560992,-71.05391861
16-0000967,17,Tuesday,0,42.3502282,-71.0569929
16-0000969,17,Tuesday,0,42.3675761,-71.0389595
16-0000977,18,Tuesday,0,42.344337,-71.088088
16-0000979,18,Tuesday,0,42.3304274,-71.0502231
16-0000982,19,Tuesday,0,42.3304274,-71.0502231
16-0000985,19,Tuesday,0,42.315865,-71.070174
16-0000991,19,Tuesday,0,42.349307,-71.043261
16-0000993,19,Tuesday,0,42.2713409,-71.1046549
16-0000995,19,Tuesday,0,42.3480331,-71.0369182
16-0000996,19,Tuesday,0,42.285564,-71.091106
16-0000997,20,Tuesday,0,42.3604823,-71.0595678
16-0000998,20,Tuesday,0,42.287105,-71.084269
16-0000999,20,Tuesday,0,42.3287665,-71.084102
16-0001004,20,Tuesday,0,42.3182467,-71.0426228
16-0001007,20,Tuesday,0,42.333125,-71.034338
16-0001009,21,Tuesday,0,42.7222306,-87.902519
16-0001010,21,Tuesday,0,42.3577383,-71.0512701
16-0001017,22,Tuesday,0,42.3397131,-71.0558619
16-0001020,22,Tuesday,0,42.3408979,-71.085662
16-0001022,23,Tuesday,0,42.342829,-71.080824
16-0001024,23,Tuesday,0,42.3348931,-71.0884934
16-0001025,23,Tuesday,0,42.332001,-71.1120662
16-0001026,23,Tuesday,0,42.2816251,-71.0731554
16-0001027,0,Wednesday,0,42.332001,-71.1120662
16-0001031,0,Wednesday,0,40.8914618,-73.0374929
